Date;Number;Вид операции;Сумма;Получатель;Автор;Комментарий
12/7/2023 1:00:04 PM;БЦК00000738;Оплата поставщику;45 180,00;БАКШИШ ТРЕЙД;Бухгалтер Струнина Н.Б.;Счет на оплату № 10038 от 07.12.2023 
12/7/2023 1:00:05 PM;БЦК00000739;Оплата поставщику;60 000,00;Федоров ИП ;Бухгалтер Струнина Н.Б.;Счет на оплату № 785 от 06.12.2023 
12/7/2023 1:00:06 PM;БЦК00000740;Оплата поставщику;66 000,00;ЮГ-Электрокомплект ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 10000041693 от 06.12.2023 
12/7/2023 1:00:07 PM;БЦК00000741;Оплата поставщику;68 000,00;Компания Hoster.KZ ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 1043191 от  06.12.2023 
12/7/2023 1:00:08 PM;БЦК00000742;Оплата поставщику;400 463,37;KazStroy A & G Company;Бухгалтер Струнина Н.Б.;
12/7/2023 1:00:08 PM;БЦК00000743;Оплата поставщику;455 072,02;KazStroy A & G Company;Бухгалтер Струнина Н.Б.;
12/7/2023 1:00:09 PM;БЦК00000744;Оплата поставщику;500 000,00;Machine repair service  ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 00000000015 от 28.12.2023 
12/7/2023 1:00:11 PM;БЦК00000745;Оплата поставщику;1 434 450,00;Модуль сталь ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 1000012550 от 06.12.2023 
12/7/2023 1:00:12 PM;БЦК00000746;Оплата поставщику;8 176 430,00;СтальИнвестГрупп  ТОО ;Бухгалтер Струнина Н.Б.;Счет на оплату № 02-118 от 07.12.2023 
12/8/2023 4:33:49 PM;БЦК00000747;Оплата поставщику;4 566 000,00;ИП Друзенко;Бухгалтер Струнина Н.Б.;
